교통사고이력ID(사고기록 순서),발생년월일시,주야코드,요일코드,사망자수,부상자수,발생지시도코드,발생지시도코드.1,사고유형대분류코드,사고유형중분류코드,법규위반코드
66,2012-01-03 02,야간,화,1,1,충남,태안군,차량단독,공작물충돌,안전운전 의무 불이행
67,2012-01-12 23,야간,목,1,1,전남,무안군,차량단독,공작물충돌,안전운전 의무 불이행
68,2012-01-07 16,주간,토,2,3,경기,가평군,차량단독,도로이탈,안전운전 의무 불이행
69,2012-01-05 07,주간,목,1,1,충남,천안시,차대사람,길가장자리구역통행중,안전운전 의무 불이행
70,2012-01-16 18,야간,월,1,1,전남,장성군,차대사람,차도통행중,안전운전 의무 불이행
71,2012-01-19 07,주간,목,1,1,충남,연기군,차량단독,도로이탈,안전운전 의무 불이행
72,2012-01-17 06,주간,화,1,1,전남,해남군,차대사람,기타,안전운전 의무 불이행
73,2012-01-09 20,야간,월,1,1,경기,용인시,차대사람,횡단중,안전운전 의무 불이행
74,2012-01-05 12,주간,목,1,1,울산,울주군,차대사람,기타,안전운전 의무 불이행
75,2012-02-20 19,야간,월,1,1,전남,함평군,차대차,추돌,안전운전 의무 불이행
76,2012-01-06 01,야간,금,1,1,서울,종로구,차대사람,차도통행중,안전운전 의무 불이행
77,2012-01-25 21,야간,수,1,1,강원,고성군,차대사람,차도통행중,안전운전 의무 불이행
78,2012-01-18 11,주간,수,1,1,경북,고령군,차량단독,공작물충돌,안전운전 의무 불이행
79,2012-01-02 06,주간,월,1,1,경기,화성시,차대사람,횡단중,안전운전 의무 불이행
80,2012-01-04 16,주간,수,1,1,경남,김해시,차대차,측면충돌,안전거리 미확보
81,2012-01-25 11,주간,수,1,1,강원,정선군,차대사람,차도통행중,안전운전 의무 불이행
82,2012-02-13 08,주간,월,1,1,경북,봉화군,차량단독,전도전복,안전운전 의무 불이행
83,2012-02-21 11,주간,화,1,1,전남,함평군,차대차,측면충돌,기타
84,2012-06-18 05,야간,월,1,1,경북,울릉군,차량단독,기타,안전운전 의무 불이행
85,2012-01-19 06,주간,목,2,3,경북,예천군,차대차,추돌,안전운전 의무 불이행
86,2012-02-10 00,야간,금,1,5,경남,진주시,차대차,기타,안전운전 의무 불이행
87,2012-01-11 10,주간,수,1,27,경기,안양시,차대차,측면충돌,중앙선 침범
88,2012-01-02 15,주간,월,1,2,경기,파주시,차대차,정면충돌,중앙선 침범
89,2012-01-03 14,주간,화,1,1,인천,계양구,차대차,측면충돌,안전운전 의무 불이행
90,2012-01-03 17,주간,화,1,1,충북,충주시,차대사람,횡단중,안전운전 의무 불이행
91,2012-01-13 02,야간,금,1,2,충북,괴산군,차대차,추돌,안전운전 의무 불이행
92,2012-02-21 15,주간,화,1,1,전남,함평군,차량단독,공작물충돌,안전운전 의무 불이행
93,2012-01-13 18,야간,금,1,1,전북,부안군,차대차,측면충돌,중앙선 침범
94,2012-01-18 14,주간,수,1,1,충남,보령시,차대사람,길가장자리구역통행중,기타
95,2012-01-13 11,주간,금,1,4,강원,평창군,차대차,측면충돌,안전운전 의무 불이행
96,2012-01-20 02,야간,금,1,2,충북,음성군,차대차,추돌,안전운전 의무 불이행
97,2012-01-13 20,야간,금,1,1,충남,예산군,차량단독,기타,안전운전 의무 불이행
98,2012-01-10 19,야간,화,1,1,전북,정읍시,차대사람,길가장자리구역통행중,안전운전 의무 불이행
99,2012-02-24 07,주간,금,1,1,전남,함평군,차량단독,공작물충돌,안전운전 의무 불이행
100,2012-01-08 07,주간,일,1,1,경남,진주시,차대사람,횡단중,안전운전 의무 불이행
101,2012-01-04 05,야간,수,1,1,서울,강남구,차대사람,기타,신호위반
102,2012-02-21 02,야간,화,1,1,경북,봉화군,차량단독,공작물충돌,안전운전 의무 불이행
103,2012-01-29 05,야간,토,1,2,충남,당진시,차량단독,공작물충돌,안전운전 의무 불이행
104,2012-02-02 03,야간,목,1,1,전남,담양군,차량단독,기타,안전운전 의무 불이행
105,2012-02-13 13,주간,월,1,1,강원,철원군,차대차,측면충돌,기타
106,2012-01-22 11,주간,일,1,1,충남,연기군,차량단독,공작물충돌,안전운전 의무 불이행
107,2012-01-03 05,야간,화,1,1,충남,서산시,차량단독,공작물충돌,안전운전 의무 불이행
108,2012-02-28 18,야간,화,1,1,경북,군위군,차대사람,횡단중,안전운전 의무 불이행
109,2012-01-10 19,야간,화,1,1,충북,진천군,차대사람,횡단중,안전운전 의무 불이행
110,2012-01-04 20,야간,수,1,1,경기,안성시,차대사람,기타,안전운전 의무 불이행
111,2012-01-31 21,야간,화,1,3,경남,의령군,차대차,정면충돌,중앙선 침범
112,2012-01-15 18,야간,일,1,1,충남,예산군,차대차,측면충돌,기타
113,2012-02-02 17,주간,목,1,1,전남,담양군,차대차,기타,안전운전 의무 불이행
114,2012-01-04 19,야간,수,1,4,경기,성남시,차대차,추돌,안전운전 의무 불이행
115,2012-01-09 17,주간,월,1,1,부산,기장군,차대차,추돌,안전운전 의무 불이행
116,2012-01-03 20,야간,화,1,1,전남,여수시,차대사람,횡단중,과속
117,2012-02-15 08,주간,수,1,1,경남,산청군,차량단독,공작물충돌,안전운전 의무 불이행
118,2012-01-14 20,야간,토,1,1,충남,홍성군,차량단독,도로이탈,안전운전 의무 불이행
119,2012-02-19 04,야간,일,1,1,경남,진주시,차대차,추돌,안전운전 의무 불이행
120,2012-01-05 18,야간,목,1,1,경기,포천시,차대사람,횡단중,과속
121,2012-01-02 22,야간,월,1,1,경기,수원시,차대사람,횡단중,안전운전 의무 불이행
122,2012-04-12 18,야간,목,1,1,강원,양구군,차량단독,전도전복,안전운전 의무 불이행
123,2012-01-05 18,야간,목,1,1,제주,서귀포시,차량단독,주정차차량 충돌,안전운전 의무 불이행
124,2012-01-14 18,야간,토,1,1,충북,진천군,차대차,측면충돌,중앙선 침범
125,2012-04-16 15,주간,월,1,1,경북,영양군,차량단독,도로이탈,안전운전 의무 불이행
126,2012-02-20 15,주간,월,1,1,강원,철원군,차대사람,횡단중,보행자 보호의무 위반
127,2012-01-03 13,주간,화,1,1,전북,고창군,차대차,추돌,안전운전 의무 불이행
128,2012-04-07 17,주간,토,1,1,전북,진안군,차대사람,횡단중,안전운전 의무 불이행
129,2012-01-17 18,야간,화,1,1,전북,김제시,차대사람,횡단중,안전운전 의무 불이행
130,2012-02-26 10,주간,일,2,3,경북,봉화군,차량단독,공작물충돌,안전운전 의무 불이행
131,2012-01-20 13,주간,금,1,1,충남,부여군,차대차,기타,교차로 통행방법 위반
132,2012-01-03 22,야간,화,1,1,전북,전주시,차대사람,횡단중,안전운전 의무 불이행
133,2012-01-23 02,야간,월,1,1,전남,무안군,차량단독,공작물충돌,안전운전 의무 불이행
134,2012-01-10 23,야간,화,1,2,충남,논산시,차대차,추돌,안전운전 의무 불이행
135,2012-01-03 17,주간,화,1,1,경북,경주시,차대사람,횡단중,안전운전 의무 불이행
136,2012-01-20 10,주간,금,1,1,경남,거창군,차대차,측면충돌,안전운전 의무 불이행
137,2012-03-09 10,주간,금,1,1,전북,장수군,차량단독,도로이탈,안전운전 의무 불이행
138,2012-01-12 07,주간,목,1,1,경기,의왕시,차대사람,보도통행중,신호위반
139,2012-01-25 18,야간,수,2,2,충남,보령시,차대사람,횡단중,보행자 보호의무 위반
140,2012-01-12 11,주간,목,1,1,경북,상주시,차대차,측면충돌,안전거리 미확보
141,2012-02-07 07,주간,화,4,10,경남,의령군,차량단독,도로이탈,기타
142,2012-01-11 06,주간,수,1,1,경남,진주시,차대사람,횡단중,안전운전 의무 불이행
143,2012-02-06 07,주간,월,1,1,전남,보성군,차량단독,도로이탈,안전운전 의무 불이행
144,2012-03-13 05,야간,화,1,2,전남,담양군,차대차,기타,안전운전 의무 불이행
145,2012-03-14 14,주간,수,1,1,경북,청송군,차대사람,기타,안전운전 의무 불이행
146,2012-02-17 15,주간,금,1,1,충남,청양군,차대차,측면충돌,기타
147,2012-04-25 14,주간,수,1,2,강원,양구군,차량단독,공작물충돌,안전운전 의무 불이행
148,2012-01-05 01,야간,목,1,1,경기,안산시,차량단독,공작물충돌,안전운전 의무 불이행
149,2012-01-19 19,야간,목,1,1,전북,부안군,차대사람,기타,안전운전 의무 불이행
150,2012-02-17 12,주간,금,1,1,전남,진도군,차량단독,기타,안전운전 의무 불이행
151,2012-03-22 18,야간,목,1,1,전남,곡성군,차대사람,횡단중,안전운전 의무 불이행
152,2012-01-07 02,야간,토,1,1,경기,광주시,차량단독,공작물충돌,안전운전 의무 불이행
153,2012-03-24 02,야간,토,1,1,충북,보은군,차대사람,보도통행중,안전운전 의무 불이행
154,2012-01-16 12,주간,월,1,4,경기,수원시,차대차,추돌,안전운전 의무 불이행
155,2012-01-05 10,주간,목,1,1,충남,태안군,차량단독,기타,안전운전 의무 불이행
156,2012-01-27 15,주간,금,1,6,전남,장흥군,차대차,정면충돌,중앙선 침범
157,2012-03-13 18,야간,화,1,1,경북,봉화군,차량단독,도로이탈,안전운전 의무 불이행
158,2012-01-28 02,야간,토,1,1,경남,고성군,차량단독,전도전복,안전운전 의무 불이행
159,2012-01-06 05,야간,금,1,1,제주,제주시,차대사람,보도통행중,안전운전 의무 불이행
160,2012-01-16 22,야간,월,1,4,경기,용인시,차대차,추돌,안전운전 의무 불이행
161,2012-01-06 14,주간,금,1,3,전남,신안군,차량단독,공작물충돌,안전운전 의무 불이행
162,2012-03-26 22,야간,월,1,2,경북,군위군,차대사람,기타,안전운전 의무 불이행
163,2012-01-09 18,야간,월,1,1,울산,울주군,차대차,기타,기타
164,2012-03-31 14,주간,토,1,1,전남,곡성군,차량단독,전도전복,안전운전 의무 불이행
165,2012-01-28 09,주간,토,1,1,경남,고성군,차대사람,길가장자리구역통행중,안전운전 의무 불이행
166,2012-01-12 21,야간,목,1,1,경북,영천시,차대사람,기타,안전운전 의무 불이행
167,2012-01-13 06,주간,금,1,1,경기,여주시,차대차,측면충돌,안전운전 의무 불이행
168,2012-02-05 07,주간,일,1,1,인천,강화군,차량단독,공작물충돌,안전운전 의무 불이행
169,2012-02-25 04,야간,토,1,2,경남,거창군,차대차,정면충돌,중앙선 침범
170,2012-01-18 13,주간,수,1,2,경기,하남시,차대차,추돌,안전운전 의무 불이행
171,2012-01-26 01,야간,목,1,2,강원,태백시,차대차,정면충돌,중앙선 침범
172,2012-01-13 00,야간,금,1,1,경기,양평군,차대차,추돌,안전운전 의무 불이행
173,2012-01-07 20,야간,토,1,1,경북,안동시,차대사람,횡단중,안전운전 의무 불이행
174,2012-01-26 19,야간,목,1,2,전북,남원시,차대차,정면충돌,중앙선 침범
175,2012-01-08 15,주간,일,1,3,경남,창원시(통합),차량단독,공작물충돌,안전운전 의무 불이행
176,2012-01-04 11,주간,수,1,1,경기,수원시,차대사람,횡단중,보행자 보호의무 위반
177,2012-03-30 10,주간,금,1,1,충북,보은군,차대사람,기타,안전운전 의무 불이행
178,2012-01-14 17,주간,토,1,4,충북,음성군,차대차,측면충돌,안전운전 의무 불이행
179,2012-01-11 01,야간,수,1,1,경남,통영시,차량단독,공작물충돌,안전운전 의무 불이행
180,2012-01-19 18,야간,목,1,1,경북,울진군,차량단독,공작물충돌,안전운전 의무 불이행
181,2012-02-23 13,주간,목,1,1,강원,횡성군,차량단독,전도전복,안전운전 의무 불이행
182,2012-01-04 09,주간,수,1,1,전북,군산시,차대차,추돌,안전운전 의무 불이행
183,2012-02-22 02,야간,수,1,1,충북,제천시,차량단독,공작물충돌,안전운전 의무 불이행
184,2012-03-01 11,주간,목,1,2,강원,화천군,차량단독,도로이탈,안전운전 의무 불이행
185,2012-01-14 18,야간,토,1,1,서울,중구,차대사람,기타,신호위반
186,2012-01-18 16,주간,수,1,1,전북,남원시,차대사람,기타,안전운전 의무 불이행
187,2012-01-23 01,야간,월,1,2,경남,창녕군,차량단독,공작물충돌,안전운전 의무 불이행
188,2012-01-28 00,야간,토,1,3,충남,천안시,차대차,기타,안전운전 의무 불이행
189,2012-02-15 21,야간,수,1,1,전남,강진군,차대차,추돌,안전운전 의무 불이행
190,2012-03-20 15,주간,화,1,1,강원,정선군,차량단독,기타,안전운전 의무 불이행
191,2012-02-21 23,야간,화,1,1,경남,합천군,차대차,추돌,중앙선 침범
192,2012-01-25 18,야간,수,1,1,충남,서천군,차대사람,횡단중,안전운전 의무 불이행
193,2012-01-07 09,주간,토,1,3,서울,동작구,차대차,추돌,안전운전 의무 불이행
194,2012-03-02 01,야간,금,1,1,경남,함안군,차대차,추돌,안전운전 의무 불이행
195,2012-01-13 07,주간,금,1,1,경남,진주시,차대사람,횡단중,안전운전 의무 불이행
196,2012-01-22 14,주간,일,1,5,대구,북구,차대차,기타,안전운전 의무 불이행
197,2012-02-19 12,주간,일,1,1,경북,영덕군,차대사람,길가장자리구역통행중,안전운전 의무 불이행
198,2012-04-03 12,주간,화,1,3,전남,광양시,차대차,추돌,기타
199,2012-05-07 07,주간,월,1,1,전북,진안군,차대차,측면충돌,과속
200,2012-01-28 05,야간,토,1,1,경남,하동군,차량단독,공작물충돌,안전운전 의무 불이행
201,2012-03-29 09,주간,목,1,1,전남,함평군,차대사람,길가장자리구역통행중,안전운전 의무 불이행
202,2012-01-09 05,야간,월,1,1,인천,부평구,차량단독,공작물충돌,안전운전 의무 불이행
203,2012-02-11 21,야간,금,1,3,충남,보령시,차량단독,전도전복,안전운전 의무 불이행
204,2012-02-24 15,주간,금,4,100,강원,고성군,차대차,추돌,안전운전 의무 불이행
205,2012-01-05 12,주간,목,1,1,전남,순천시,차대사람,기타,안전운전 의무 불이행
206,2012-03-04 07,주간,일,1,1,경북,고령군,차량단독,공작물충돌,안전운전 의무 불이행
207,2012-01-04 19,야간,수,1,1,경기,남양주시,차대사람,횡단중,안전운전 의무 불이행
208,2012-01-28 08,주간,토,1,1,전북,부안군,차대차,추돌,안전운전 의무 불이행
209,2012-01-10 01,야간,화,1,1,경기,이천시,차대차,추돌,안전운전 의무 불이행
210,2012-01-30 09,주간,월,1,1,충북,괴산군,차량단독,공작물충돌,안전운전 의무 불이행
211,2012-01-20 18,야간,금,1,1,전북,남원시,차대사람,횡단중,안전운전 의무 불이행
212,2012-02-06 07,주간,월,1,1,경남,고성군,차대차,측면충돌,안전운전 의무 불이행
213,2012-05-13 13,주간,일,1,1,전북,진안군,차량단독,공작물충돌,안전운전 의무 불이행
214,2012-01-16 15,주간,월,1,1,경기,동두천시,차대차,추돌,안전운전 의무 불이행
215,2012-05-05 17,주간,토,1,1,강원,인제군,차대사람,길가장자리구역통행중,안전운전 의무 불이행
216,2012-04-07 04,야간,토,1,1,전북,정읍시,차대사람,기타,안전운전 의무 불이행
217,2012-02-02 17,주간,목,1,1,충남,부여군,차대사람,보도통행중,안전운전 의무 불이행
218,2012-01-22 16,주간,일,1,1,경기,가평군,차대차,정면충돌,교차로 통행방법 위반
219,2012-03-08 03,야간,목,1,1,강원,영월군,차량단독,공작물충돌,안전운전 의무 불이행
220,2012-02-04 13,주간,토,1,1,충남,보령시,차량단독,공작물충돌,안전운전 의무 불이행
221,2012-03-10 19,야간,토,1,1,전남,진도군,차대사람,횡단중,안전운전 의무 불이행
222,2012-04-15 13,주간,일,1,1,충북,보은군,차대차,기타,안전운전 의무 불이행
223,2012-01-05 21,야간,목,1,1,전북,전주시,차대사람,횡단중,신호위반
224,2012-04-27 06,주간,금,1,1,전남,곡성군,차대사람,횡단중,안전운전 의무 불이행
225,2012-01-26 06,주간,목,1,1,경북,구미시,차대사람,기타,안전운전 의무 불이행
226,2012-01-07 15,주간,토,1,2,충북,청원군,차량단독,도로이탈,기타
227,2012-01-25 14,주간,수,1,1,강원,평창군,차량단독,도로이탈,안전운전 의무 불이행
228,2012-01-11 13,주간,수,1,1,충남,아산시,차대차,측면충돌,기타
229,2012-01-05 01,야간,목,1,1,경기,남양주시,차대사람,횡단중,안전운전 의무 불이행
230,2012-03-11 19,야간,일,1,1,강원,영월군,차대사람,길가장자리구역통행중,기타
231,2012-01-11 16,주간,수,1,1,경남,밀양시,차대사람,횡단중,안전운전 의무 불이행
232,2012-01-08 12,주간,일,1,2,경북,포항시,차량단독,공작물충돌,안전운전 의무 불이행
233,2012-01-07 07,주간,토,1,1,충남,서산시,차대사람,횡단중,안전운전 의무 불이행
234,2012-03-22 12,주간,목,1,2,강원,철원군,차대차,측면충돌,기타
235,2012-02-21 22,야간,화,1,1,인천,강화군,차량단독,도로이탈,안전운전 의무 불이행
236,2012-04-12 14,주간,목,1,2,경북,청송군,차대차,추돌,안전거리 미확보
237,2012-01-06 16,주간,금,1,1,경기,안양시,차대차,측면충돌,안전운전 의무 불이행
238,2012-02-05 11,주간,일,2,2,충북,괴산군,차량단독,도로이탈,안전운전 의무 불이행
239,2012-01-10 19,야간,화,1,1,경기,수원시,차대사람,횡단중,안전운전 의무 불이행
240,2012-02-15 05,야간,수,1,12,충북,음성군,차대차,추돌,안전운전 의무 불이행
241,2012-02-22 14,주간,수,1,3,경북,예천군,차량단독,공작물충돌,안전운전 의무 불이행
242,2012-01-07 23,야간,일,1,1,서울,강남구,차대차,측면충돌,신호위반
243,2012-03-17 15,주간,토,1,1,전남,진도군,차량단독,공작물충돌,안전운전 의무 불이행
244,2012-02-25 14,주간,토,1,1,충북,영동군,차대사람,기타,안전운전 의무 불이행
245,2012-02-24 18,야간,금,1,1,경북,예천군,차량단독,공작물충돌,안전운전 의무 불이행
246,2012-04-18 11,주간,수,1,1,전북,순창군,차대차,측면충돌,교차로 통행방법 위반
247,2012-01-29 01,야간,일,1,1,경북,경산시,차대차,추돌,안전운전 의무 불이행
248,2012-01-18 20,야간,수,1,1,경북,영천시,차대사람,보도통행중,보행자 보호의무 위반
249,2012-02-10 18,야간,금,1,1,충남,보령시,차대사람,횡단중,보행자 보호의무 위반
250,2012-01-11 13,주간,수,1,1,인천,연수구,차대차,측면충돌,교차로 통행방법 위반
251,2012-03-10 18,야간,토,1,1,전남,완도군,차대차,추돌,안전운전 의무 불이행
252,2012-02-06 09,주간,월,1,1,전남,무안군,차대차,추돌,안전운전 의무 불이행
253,2012-04-09 00,야간,월,1,1,경남,산청군,차량단독,공작물충돌,안전운전 의무 불이행
254,2012-05-28 11,주간,월,1,1,경북,군위군,차대차,정면충돌,중앙선 침범
255,2012-04-24 07,주간,화,1,4,강원,화천군,차량단독,도로이탈,안전운전 의무 불이행
256,2012-01-05 20,야간,목,1,1,충북,청주시,차대사람,횡단중,신호위반
257,2012-01-26 17,주간,목,1,1,전북,남원시,차량단독,도로이탈,안전운전 의무 불이행
258,2012-01-18 18,야간,수,1,1,서울,중구,차대사람,횡단중,보행자 보호의무 위반
259,2012-02-02 16,주간,목,1,1,경북,울진군,차량단독,도로이탈,안전운전 의무 불이행
260,2012-03-01 09,주간,목,1,1,전남,강진군,차량단독,도로이탈,안전운전 의무 불이행
261,2012-02-07 18,야간,화,1,1,전북,부안군,차량단독,기타,안전운전 의무 불이행
262,2012-01-05 18,야간,목,1,1,경기,시흥시,차대사람,횡단중,안전운전 의무 불이행
263,2012-03-14 05,야간,수,1,1,경남,남해군,차대사람,차도통행중,안전운전 의무 불이행
264,2012-02-29 10,주간,수,1,1,경기,연천군,차대차,측면충돌,중앙선 침범
265,2012-01-06 15,주간,금,1,1,전북,군산시,차대차,추돌,안전운전 의무 불이행
266,2012-03-10 08,주간,토,1,1,인천,강화군,차대사람,차도통행중,안전운전 의무 불이행
267,2012-07-25 20,야간,수,1,2,경북,영양군,차대차,기타,안전운전 의무 불이행
268,2012-01-07 05,야간,토,1,1,울산,남구,차대사람,횡단중,안전운전 의무 불이행
269,2012-01-25 18,야간,수,1,1,경북,영주시,차대사람,기타,안전운전 의무 불이행
270,2012-01-23 05,야간,월,1,1,충북,음성군,차량단독,도로이탈,안전운전 의무 불이행
271,2012-02-15 12,주간,수,2,2,충남,서천군,차대차,기타,중앙선 침범
272,2012-04-29 12,주간,일,1,1,충북,보은군,차량단독,전도전복,안전운전 의무 불이행
273,2012-05-07 14,주간,월,1,1,강원,화천군,차량단독,공작물충돌,안전운전 의무 불이행
274,2012-01-07 14,주간,토,3,7,충남,천안시,차대차,측면충돌,교차로 통행방법 위반
275,2012-02-05 06,주간,일,1,4,충남,천안시,차대차,기타,안전운전 의무 불이행
276,2012-01-09 20,야간,월,1,2,경기,성남시,차량단독,기타,안전운전 의무 불이행
277,2012-01-12 21,야간,목,1,1,경기,포천시,차량단독,공작물충돌,안전운전 의무 불이행
278,2012-03-16 21,야간,금,1,1,경북,고령군,차량단독,도로이탈,안전운전 의무 불이행
279,2012-01-10 07,주간,화,1,1,충북,청원군,차대차,측면충돌,신호위반
280,2012-01-18 11,주간,수,1,1,인천,연수구,차대차,추돌,안전운전 의무 불이행
281,2012-01-18 15,주간,수,1,7,광주,동구,차대차,추돌,과속
282,2012-01-13 07,주간,금,1,1,경남,창원시(통합),차대차,기타,신호위반
283,2012-02-15 05,야간,수,1,1,충북,증평군,차대차,측면충돌,기타
284,2012-01-07 20,야간,토,1,1,경기,안산시,차대차,측면충돌,안전운전 의무 불이행
285,2012-03-21 17,주간,수,1,1,강원,횡성군,차량단독,도로이탈,안전운전 의무 불이행
286,2012-01-16 09,주간,월,1,1,충남,아산시,차대차,측면충돌,교차로 통행방법 위반
287,2012-08-14 15,주간,화,1,4,강원,양구군,차량단독,공작물충돌,안전운전 의무 불이행
288,2012-03-07 10,주간,수,1,1,경북,예천군,차대차,기타,안전운전 의무 불이행
