교통사고이력ID(사고기록 순서),발생년월일시,주야코드,요일코드,사망자수,부상자수,중상자수,경상자수,부상신고자수,발생지시도코드,발생지시도코드,사고유형대분류코드,사고유형중분류코드,사고유형코드,법규위반코드,도로형태대분류코드,도로로형태코드
52,2012-01-15 15,주간,일,1,1,0,0,0,전남,완도군,차량단독,기타,기타,안전운전 의무 불이행,단일로,기타단일로
53,2012-01-18 04,야간,수,1,1,0,0,0,경남,창원시(통합),차대차,측면충돌,측면충돌,안전운전 의무 불이행,단일로,기타단일로
54,2012-01-09 13,주간,월,1,1,0,0,0,전북,부안군,차대사람,횡단중,횡단중,보행자 보호의무 위반,단일로,횡단보도상
55,2012-01-06 22,야간,금,1,1,0,0,0,경기,가평군,차량단독,도로이탈,도로이탈 추락,안전운전 의무 불이행,단일로,기타단일로
56,2012-01-15 18,야간,일,1,3,2,0,0,경북,성주군,차대차,기타,기타,안전운전 의무 불이행,단일로,기타단일로
57,2012-01-03 19,야간,화,1,1,0,0,0,서울,도봉구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로
58,2012-01-25 06,주간,수,1,1,0,0,0,경남,진주시,차대사람,차도통행중,차도통행중,안전운전 의무 불이행,단일로,기타단일로
59,2012-01-02 07,주간,월,1,1,0,0,0,경기,고양시,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,횡단보도상
60,2012-01-26 15,주간,목,1,1,0,0,0,강원,영월군,차대차,추돌,주정차중 추돌,안전운전 의무 불이행,단일로,터널안
61,2012-01-05 21,야간,목,1,1,0,0,0,경남,진주시,차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로부근
62,2012-02-03 15,주간,금,1,2,1,0,0,경북,청송군,차대차,정면충돌,정면충돌,기타,단일로,기타단일로
63,2012-01-30 19,야간,월,1,1,0,0,0,전북,임실군,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,횡단보도상
64,2012-01-15 17,주간,일,1,1,0,0,0,경북,고령군,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로
65,2012-01-10 03,야간,화,1,5,4,0,0,전북,남원시,차량단독,도로이탈,도로이탈 추락,안전운전 의무 불이행,단일로,기타단일로
66,2012-01-03 02,야간,화,1,1,0,0,0,충남,태안군,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로
67,2012-01-12 23,야간,목,1,1,0,0,0,전남,무안군,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로
68,2012-01-07 16,주간,토,2,3,1,0,0,경기,가평군,차량단독,도로이탈,도로이탈 추락,안전운전 의무 불이행,기타/불명,기타/불명
69,2012-01-05 07,주간,목,1,1,0,0,0,충남,천안시,차대사람,길가장자리구역통행중,길가장자리구역통행중,안전운전 의무 불이행,단일로,기타단일로
70,2012-01-16 18,야간,월,1,1,0,0,0,전남,장성군,차대사람,차도통행중,차도통행중,안전운전 의무 불이행,단일로,기타단일로
71,2012-01-19 07,주간,목,1,1,0,0,0,충남,연기군,차량단독,도로이탈,도로이탈 추락,안전운전 의무 불이행,단일로,기타단일로
72,2012-01-17 06,주간,화,1,1,0,0,0,전남,해남군,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로
73,2012-01-09 20,야간,월,1,1,0,0,0,경기,용인시,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로
74,2012-01-05 12,주간,목,1,1,0,0,0,울산,울주군,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로
75,2012-02-20 19,야간,월,1,1,0,0,0,전남,함평군,차대차,추돌,진행중 추돌,안전운전 의무 불이행,단일로,기타단일로
76,2012-01-06 01,야간,금,1,1,0,0,0,서울,종로구,차대사람,차도통행중,차도통행중,안전운전 의무 불이행,단일로,기타단일로
77,2012-01-25 21,야간,수,1,1,0,0,0,강원,고성군,차대사람,차도통행중,차도통행중,안전운전 의무 불이행,단일로,기타단일로
78,2012-01-18 11,주간,수,1,1,0,0,0,경북,고령군,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로
79,2012-01-02 06,주간,월,1,1,0,0,0,경기,화성시,차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로부근
80,2012-01-04 16,주간,수,1,1,0,0,0,경남,김해시,차대차,측면충돌,측면충돌,안전거리 미확보,단일로,기타단일로
81,2012-01-25 11,주간,수,1,1,0,0,0,강원,정선군,차대사람,차도통행중,차도통행중,안전운전 의무 불이행,단일로,교량위
82,2012-02-13 08,주간,월,1,1,0,0,0,경북,봉화군,차량단독,전도전복,전도전복,안전운전 의무 불이행,단일로,교량위
83,2012-02-21 11,주간,화,1,1,0,0,0,전남,함평군,차대차,측면충돌,측면충돌,기타,교차로,교차로내
84,2012-06-18 05,야간,월,1,1,0,0,0,경북,울릉군,차량단독,기타,기타,안전운전 의무 불이행,단일로,기타단일로
85,2012-01-19 06,주간,목,2,3,0,1,0,경북,예천군,차대차,추돌,진행중 추돌,안전운전 의무 불이행,단일로,기타단일로
86,2012-02-10 00,야간,금,1,5,3,1,0,경남,진주시,차대차,기타,기타,안전운전 의무 불이행,단일로,기타단일로
87,2012-01-11 10,주간,수,1,27,9,17,0,경기,안양시,차대차,측면충돌,측면충돌,중앙선 침범,단일로,기타단일로
88,2012-01-02 15,주간,월,1,2,1,0,0,경기,파주시,차대차,정면충돌,정면충돌,중앙선 침범,단일로,기타단일로
89,2012-01-03 14,주간,화,1,1,0,0,0,인천,계양구,차대차,측면충돌,측면충돌,안전운전 의무 불이행,교차로,교차로내
90,2012-01-03 17,주간,화,1,1,0,0,0,충북,충주시,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로
91,2012-01-13 02,야간,금,1,2,1,0,0,충북,괴산군,차대차,추돌,진행중 추돌,안전운전 의무 불이행,단일로,기타단일로
92,2012-02-21 15,주간,화,1,1,0,0,0,전남,함평군,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로
93,2012-01-13 18,야간,금,1,1,0,0,0,전북,부안군,차대차,측면충돌,측면충돌,중앙선 침범,교차로,교차로부근
94,2012-01-18 14,주간,수,1,1,0,0,0,충남,보령시,차대사람,길가장자리구역통행중,길가장자리구역통행중,기타,교차로,교차로부근
95,2012-01-13 11,주간,금,1,4,2,1,0,강원,평창군,차대차,측면충돌,측면충돌,안전운전 의무 불이행,교차로,교차로내
96,2012-01-20 02,야간,금,1,2,0,1,0,충북,음성군,차대차,추돌,진행중 추돌,안전운전 의무 불이행,단일로,기타단일로
97,2012-01-13 20,야간,금,1,1,0,0,0,충남,예산군,차량단독,기타,기타,안전운전 의무 불이행,교차로,교차로부근
98,2012-01-10 19,야간,화,1,1,0,0,0,전북,정읍시,차대사람,길가장자리구역통행중,길가장자리구역통행중,안전운전 의무 불이행,단일로,기타단일로
99,2012-02-24 07,주간,금,1,1,0,0,0,전남,함평군,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,교차로,교차로부근
100,2012-01-08 07,주간,일,1,1,0,0,0,경남,진주시,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로
101,2012-01-04 05,야간,수,1,1,0,0,0,서울,강남구,차대사람,기타,기타,신호위반,단일로,기타단일로
102,2012-02-21 02,야간,화,1,1,0,0,0,경북,봉화군,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로
103,2012-01-29 05,야간,토,1,2,1,0,0,충남,당진시,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로
104,2012-02-02 03,야간,목,1,1,0,0,0,전남,담양군,차량단독,기타,기타,안전운전 의무 불이행,단일로,기타단일로
105,2012-02-13 13,주간,월,1,1,0,0,0,강원,철원군,차대차,측면충돌,측면충돌,기타,교차로,교차로내
106,2012-01-22 11,주간,일,1,1,0,0,0,충남,연기군,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,기타/불명,기타/불명
107,2012-01-03 05,야간,화,1,1,0,0,0,충남,서산시,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로
108,2012-02-28 18,야간,화,1,1,0,0,0,경북,군위군,차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로부근
109,2012-01-10 19,야간,화,1,1,0,0,0,충북,진천군,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로
110,2012-01-04 20,야간,수,1,1,0,0,0,경기,안성시,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로
111,2012-01-31 21,야간,화,1,3,2,0,0,경남,의령군,차대차,정면충돌,정면충돌,중앙선 침범,단일로,기타단일로
112,2012-01-15 18,야간,일,1,1,0,0,0,충남,예산군,차대차,측면충돌,측면충돌,기타,교차로,교차로내
113,2012-02-02 17,주간,목,1,1,0,0,0,전남,담양군,차대차,기타,기타,안전운전 의무 불이행,단일로,기타단일로
114,2012-01-04 19,야간,수,1,4,3,0,0,경기,성남시,차대차,추돌,진행중 추돌,안전운전 의무 불이행,단일로,기타단일로
115,2012-01-09 17,주간,월,1,1,0,0,0,부산,기장군,차대차,추돌,진행중 추돌,안전운전 의무 불이행,단일로,기타단일로
116,2012-01-03 20,야간,화,1,1,0,0,0,전남,여수시,차대사람,횡단중,횡단중,과속,교차로,교차로내
117,2012-02-15 08,주간,수,1,1,0,0,0,경남,산청군,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로
118,2012-01-14 20,야간,토,1,1,0,0,0,충남,홍성군,차량단독,도로이탈,도로이탈 추락,안전운전 의무 불이행,단일로,교량위
119,2012-02-19 04,야간,일,1,1,0,0,0,경남,진주시,차대차,추돌,진행중 추돌,안전운전 의무 불이행,단일로,기타단일로
120,2012-01-05 18,야간,목,1,1,0,0,0,경기,포천시,차대사람,횡단중,횡단중,과속,단일로,기타단일로
121,2012-01-02 22,야간,월,1,1,0,0,0,경기,수원시,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로
122,2012-04-12 18,야간,목,1,1,0,0,0,강원,양구군,차량단독,전도전복,전도전복,안전운전 의무 불이행,단일로,기타단일로
123,2012-01-05 18,야간,목,1,1,0,0,0,제주,서귀포시,차량단독,주정차차량 충돌,주정차차량 충돌,안전운전 의무 불이행,단일로,기타단일로
124,2012-01-14 18,야간,토,1,1,0,0,0,충북,진천군,차대차,측면충돌,측면충돌,중앙선 침범,단일로,기타단일로
125,2012-04-16 15,주간,월,1,1,0,0,0,경북,영양군,차량단독,도로이탈,도로이탈 기타,안전운전 의무 불이행,단일로,기타단일로
126,2012-02-20 15,주간,월,1,1,0,0,0,강원,철원군,차대사람,횡단중,횡단중,보행자 보호의무 위반,단일로,횡단보도상
127,2012-01-03 13,주간,화,1,1,0,0,0,전북,고창군,차대차,추돌,주정차중 추돌,안전운전 의무 불이행,단일로,기타단일로
128,2012-04-07 17,주간,토,1,1,0,0,0,전북,진안군,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로
129,2012-01-17 18,야간,화,1,1,0,0,0,전북,김제시,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로
130,2012-02-26 10,주간,일,2,3,0,1,0,경북,봉화군,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로
131,2012-01-20 13,주간,금,1,1,0,0,0,충남,부여군,차대차,기타,기타,교차로 통행방법 위반,교차로,교차로내
132,2012-01-03 22,야간,화,1,1,0,0,0,전북,전주시,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로
133,2012-01-23 02,야간,월,1,1,0,0,0,전남,무안군,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,교차로,교차로부근
134,2012-01-10 23,야간,화,1,2,1,0,0,충남,논산시,차대차,추돌,주정차중 추돌,안전운전 의무 불이행,교차로,교차로부근
135,2012-01-03 17,주간,화,1,1,0,0,0,경북,경주시,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로
136,2012-01-20 10,주간,금,1,1,0,0,0,경남,거창군,차대차,측면충돌,측면충돌,안전운전 의무 불이행,교차로,교차로내
137,2012-03-09 10,주간,금,1,1,0,0,0,전북,장수군,차량단독,도로이탈,도로이탈 추락,안전운전 의무 불이행,단일로,기타단일로
138,2012-01-12 07,주간,목,1,1,0,0,0,경기,의왕시,차대사람,보도통행중,보도통행중,신호위반,단일로,횡단보도상
139,2012-01-25 18,야간,수,2,2,0,0,0,충남,보령시,차대사람,횡단중,횡단중,보행자 보호의무 위반,단일로,횡단보도상
140,2012-01-12 11,주간,목,1,1,0,0,0,경북,상주시,차대차,측면충돌,측면충돌,안전거리 미확보,단일로,기타단일로
141,2012-02-07 07,주간,화,4,10,6,0,0,경남,의령군,차량단독,도로이탈,도로이탈 추락,기타,단일로,교량위
142,2012-01-11 06,주간,수,1,1,0,0,0,경남,진주시,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로
143,2012-02-06 07,주간,월,1,1,0,0,0,전남,보성군,차량단독,도로이탈,도로이탈 기타,안전운전 의무 불이행,단일로,기타단일로
144,2012-03-13 05,야간,화,1,2,1,0,0,전남,담양군,차대차,기타,기타,안전운전 의무 불이행,기타/불명,기타/불명
145,2012-03-14 14,주간,수,1,1,0,0,0,경북,청송군,차대사람,기타,기타,안전운전 의무 불이행,단일로,터널안
146,2012-02-17 15,주간,금,1,1,0,0,0,충남,청양군,차대차,측면충돌,측면충돌,기타,교차로,교차로내
147,2012-04-25 14,주간,수,1,2,1,0,0,강원,양구군,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로
148,2012-01-05 01,야간,목,1,1,0,0,0,경기,안산시,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,교차로,교차로부근
149,2012-01-19 19,야간,목,1,1,0,0,0,전북,부안군,차대사람,기타,기타,안전운전 의무 불이행,교차로,교차로부근
150,2012-02-17 12,주간,금,1,1,0,0,0,전남,진도군,차량단독,기타,기타,안전운전 의무 불이행,단일로,기타단일로
151,2012-03-22 18,야간,목,1,1,0,0,0,전남,곡성군,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로
152,2012-01-07 02,야간,토,1,1,0,0,0,경기,광주시,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로
153,2012-03-24 02,야간,토,1,1,0,0,0,충북,보은군,차대사람,보도통행중,보도통행중,안전운전 의무 불이행,단일로,교량위
154,2012-01-16 12,주간,월,1,4,0,3,0,경기,수원시,차대차,추돌,진행중 추돌,안전운전 의무 불이행,단일로,기타단일로
155,2012-01-05 10,주간,목,1,1,0,0,0,충남,태안군,차량단독,기타,기타,안전운전 의무 불이행,기타/불명,기타/불명
156,2012-01-27 15,주간,금,1,6,3,2,0,전남,장흥군,차대차,정면충돌,정면충돌,중앙선 침범,단일로,기타단일로
157,2012-03-13 18,야간,화,1,1,0,0,0,경북,봉화군,차량단독,도로이탈,도로이탈 추락,안전운전 의무 불이행,단일로,기타단일로
158,2012-01-28 02,야간,토,1,1,0,0,0,경남,고성군,차량단독,전도전복,전도전복,안전운전 의무 불이행,단일로,기타단일로
159,2012-01-06 05,야간,금,1,1,0,0,0,제주,제주시,차대사람,보도통행중,보도통행중,안전운전 의무 불이행,교차로,교차로부근
160,2012-01-16 22,야간,월,1,4,0,2,1,경기,용인시,차대차,추돌,진행중 추돌,안전운전 의무 불이행,단일로,기타단일로
161,2012-01-06 14,주간,금,1,3,0,2,0,전남,신안군,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로
162,2012-03-26 22,야간,월,1,2,0,1,0,경북,군위군,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로
163,2012-01-09 18,야간,월,1,1,0,0,0,울산,울주군,차대차,기타,기타,기타,단일로,기타단일로
164,2012-03-31 14,주간,토,1,1,0,0,0,전남,곡성군,차량단독,전도전복,전도전복,안전운전 의무 불이행,단일로,기타단일로
165,2012-01-28 09,주간,토,1,1,0,0,0,경남,고성군,차대사람,길가장자리구역통행중,길가장자리구역통행중,안전운전 의무 불이행,단일로,기타단일로
166,2012-01-12 21,야간,목,1,1,0,0,0,경북,영천시,차대사람,기타,기타,안전운전 의무 불이행,기타/불명,기타/불명
167,2012-01-13 06,주간,금,1,1,0,0,0,경기,여주시,차대차,측면충돌,측면충돌,안전운전 의무 불이행,단일로,기타단일로
168,2012-02-05 07,주간,일,1,1,0,0,0,인천,강화군,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로
169,2012-02-25 04,야간,토,1,2,1,0,0,경남,거창군,차대차,정면충돌,정면충돌,중앙선 침범,단일로,기타단일로
170,2012-01-18 13,주간,수,1,2,0,1,0,경기,하남시,차대차,추돌,주정차중 추돌,안전운전 의무 불이행,단일로,기타단일로
171,2012-01-26 01,야간,목,1,2,1,0,0,강원,태백시,차대차,정면충돌,정면충돌,중앙선 침범,단일로,기타단일로
172,2012-01-13 00,야간,금,1,1,0,0,0,경기,양평군,차대차,추돌,진행중 추돌,안전운전 의무 불이행,단일로,기타단일로
173,2012-01-07 20,야간,토,1,1,0,0,0,경북,안동시,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로
174,2012-01-26 19,야간,목,1,2,1,0,0,전북,남원시,차대차,정면충돌,정면충돌,중앙선 침범,단일로,기타단일로
175,2012-01-08 15,주간,일,1,3,2,0,0,경남,창원시(통합),차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로
176,2012-01-04 11,주간,수,1,1,0,0,0,경기,수원시,차대사람,횡단중,횡단중,보행자 보호의무 위반,교차로,교차로내
177,2012-03-30 10,주간,금,1,1,0,0,0,충북,보은군,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로
178,2012-01-14 17,주간,토,1,4,3,0,0,충북,음성군,차대차,측면충돌,측면충돌,안전운전 의무 불이행,단일로,기타단일로
179,2012-01-11 01,야간,수,1,1,0,0,0,경남,통영시,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로
180,2012-01-19 18,야간,목,1,1,0,0,0,경북,울진군,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,교량위
181,2012-02-23 13,주간,목,1,1,0,0,0,강원,횡성군,차량단독,전도전복,전도전복,안전운전 의무 불이행,단일로,기타단일로
182,2012-01-04 09,주간,수,1,1,0,0,0,전북,군산시,차대차,추돌,진행중 추돌,안전운전 의무 불이행,단일로,기타단일로
183,2012-02-22 02,야간,수,1,1,0,0,0,충북,제천시,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로
184,2012-03-01 11,주간,목,1,2,1,0,0,강원,화천군,차량단독,도로이탈,도로이탈 추락,안전운전 의무 불이행,단일로,기타단일로
185,2012-01-14 18,야간,토,1,1,0,0,0,서울,중구,차대사람,기타,기타,신호위반,교차로,교차로부근
186,2012-01-18 16,주간,수,1,1,0,0,0,전북,남원시,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로
187,2012-01-23 01,야간,월,1,2,1,0,0,경남,창녕군,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로
188,2012-01-28 00,야간,토,1,3,1,1,0,충남,천안시,차대차,기타,기타,안전운전 의무 불이행,단일로,기타단일로
189,2012-02-15 21,야간,수,1,1,0,0,0,전남,강진군,차대차,추돌,진행중 추돌,안전운전 의무 불이행,단일로,기타단일로
190,2012-03-20 15,주간,화,1,1,0,0,0,강원,정선군,차량단독,기타,기타,안전운전 의무 불이행,단일로,기타단일로
191,2012-02-21 23,야간,화,1,1,0,0,0,경남,합천군,차대차,추돌,주정차중 추돌,중앙선 침범,단일로,교량위
192,2012-01-25 18,야간,수,1,1,0,0,0,충남,서천군,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로
193,2012-01-07 09,주간,토,1,3,2,0,0,서울,동작구,차대차,추돌,진행중 추돌,안전운전 의무 불이행,단일로,횡단보도상
194,2012-03-02 01,야간,금,1,1,0,0,0,경남,함안군,차대차,추돌,진행중 추돌,안전운전 의무 불이행,단일로,기타단일로
195,2012-01-13 07,주간,금,1,1,0,0,0,경남,진주시,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로
196,2012-01-22 14,주간,일,1,5,4,0,0,대구,북구,차대차,기타,기타,안전운전 의무 불이행,단일로,기타단일로
